Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1988-08-12,37.12,37.62,37.0,37.0,339300.0,0.0,1.0,2.5321614864401,2.5662692650829,2.5239756195659,2.5239756195659,1357200.0
1988-08-15,37.12,37.12,36.75,36.75,138300.0,0.0,1.0,2.5321614864401,2.5321614864401,2.5069217302445,2.5069217302445,553200.0
1988-08-16,36.88,37.38,36.62,36.75,178500.0,0.0,1.0,2.5157897526916,2.5498975313344,2.4980537077974,2.5069217302445,714000.0
1988-08-17,37.0,37.12,36.75,36.88,251200.0,0.0,1.0,2.5239756195659,2.5321614864401,2.5069217302445,2.5157897526916,1004800.0
1988-08-18,36.88,37.12,36.75,37.0,267900.0,0.0,1.0,2.5157897526916,2.5321614864401,2.5069217302445,2.5239756195659,1071600.0
1988-08-19,37.12,37.25,36.75,36.88,460200.0,0.0,1.0,2.5321614864401,2.5410295088873,2.5069217302445,2.5157897526916,1840800.0
1988-08-22,37.12,37.12,36.62,36.62,416900.0,0.0,1.0,2.5321614864401,2.5321614864401,2.4980537077974,2.4980537077974,1667600.0
1988-08-23,36.5,36.62,36.38,36.5,285300.0,0.0,1.0,2.4898678409231,2.4980537077974,2.4816819740488,2.4898678409231,1141200.0
1988-08-24,36.75,37.0,36.5,37.0,236100.0,0.0,1.0,2.5069217302445,2.5239756195659,2.4898678409231,2.5239756195659,944400.0
1988-08-25,36.88,37.12,36.5,36.62,247900.0,0.0,1.0,2.5157897526916,2.5321614864401,2.4898678409231,2.4980537077974,991600.0
1988-08-26,36.88,37.0,36.62,37.0,215200.0,0.0,1.0,2.5157897526916,2.5239756195659,2.4980537077974,2.5239756195659,860800.0
1988-08-29,37.0,37.5,36.88,37.12,390700.0,0.0,1.0,2.5239756195659,2.5580833982087,2.5157897526916,2.5321614864401,1562800.0
1988-08-30,37.38,37.38,37.12,37.25,282600.0,0.0,1.0,2.5498975313344,2.5498975313344,2.5321614864401,2.5410295088873,1130400.0
