Company;Date;Open;High;Low;Close;Volume;Ex-Dividend;Split Ratio;Adj. Open;Adj. High;Adj. Low;Adj. Close;Adj. Volume
T Mobile;4/2/16;38.82;38.995;37.75;38.7;3778786.0;0.0;1.0;38.82;38.995;37.75;38.7;3778786.0
T Mobile;3/2/16;39.55;39.99;37.23;38.34;5139654.0;0.0;1.0;39.55;39.99;37.23;38.34;5139654.0
T Mobile;2/2/16;40.03;40.25;38.99;39.27;2974748.0;0.0;1.0;40.03;40.25;38.99;39.27;2974748.0
T Mobile;1/2/16;40.04;40.65;39.46;40.59;3645991.0;0.0;1.0;40.04;40.65;39.46;40.59;3645991.0
T Mobile;29/1/16;39.44;40.17;38.85;40.15;3566743.0;0.0;1.0;39.44;40.17;38.85;40.15;3566743.0
T Mobile;28/1/16;38.64;38.9;38.16;38.67;1419050.0;0.0;1.0;38.64;38.9;38.16;38.67;1419050.0
T Mobile;27/1/16;39.42;39.49;38.35;38.5;2304103.0;0.0;1.0;39.42;39.49;38.35;38.5;2304103.0
T Mobile;26/1/16;38.17;39.68;37.965;39.43;2718628.0;0.0;1.0;38.17;39.68;37.965;39.43;2718628.0
T Mobile;25/1/16;37.97;38.97;37.5;37.89;3027391.0;0.0;1.0;37.97;38.97;37.5;37.89;3027391.0
T Mobile;22/1/16;37.86;38.06;37.49;37.85;3955756.0;0.0;1.0;37.86;38.06;37.49;37.85;3955756.0
T Mobile;21/1/16;37.4;37.96;36.77;37.1;3829851.0;0.0;1.0;37.4;37.96;36.77;37.1;3829851.0
T Mobile;20/1/16;37.15;37.66;35.49;37.36;4814351.0;0.0;1.0;37.15;37.66;35.49;37.36;4814351.0
T Mobile;19/1/16;38.13;38.23;37.44;37.65;3051229.0;0.0;1.0;38.13;38.23;37.44;37.65;3051229.0
T Mobile;15/1/16;37.99;38.9;36.79;37.79;5138388.0;0.0;1.0;37.99;38.9;36.79;37.79;5138388.0
T Mobile;14/1/16;38.74;39.715;37.99;39.39;3440778.0;0.0;1.0;38.74;39.715;37.99;39.39;3440778.0
